abstract,paper
"The future of any business from banking, e-commerce, real estate, homeland security, healthcare, marketing, the stock market, manufacturing, education, retail to government organizations depends on the data and analytics capabilities that are built and scaled. The speed of change in technology in recent years has been a real challenge for all businesses. To manage that, a significant number of organizations are exploring the Big Data (BD) infrastructure that helps them to take advantage of new opportunities while saving costs. Timely transformation of information is also critical for the survivability of an organization. Having the right information at the right time will enhance not only the knowledge of stakeholders within an organization but also providing them with a tool to make the right decision at the right moment. It is no longer enough to rely on a sampling of information about the organizations' customers. The decision-makers need to get vital insights into the customers' actual behavior, which requires enormous volumes of data to be processed. We believe that Big Data infrastructure is the key to successful Artificial Intelligence (AI) deployments and accurate, unbiased real-time insights. Big data solutions have a direct impact and changing the way the organization needs to work with help from AI and its components ML and DL. In this article, we discuss these topics.",Artificial Intelligence Driven Resiliency with Machine Learning and Deep Learning Components
"There have been theory-based endeavours that directly engage with AI and ML in the landscape discipline. By presenting a case that uses machine learning techniques to predict variables in a coastal environment, this paper provides empirical evidence of the forthcoming cybernetic environment, in which designers are conceptualized not as authors but as choreographers, catalyst agents, and conductors among many other intelligent agents. Drawing ideas from posthumanism, this paper argues that, to truly understand the cybernetic environment, we have to take on posthumanist ethics and overcome human exceptionalism.","The Future of Artificial Intelligence (AI) and Machine Learning (ML) in Landscape Design: A Case Study in Coastal Virginia, USA"
"This paper is aimed to explore the application of Artificial Intelligence/Machine Learning (AI/ML) to software engineering research problems. Which activities of software engineering use AI/ML the most for solving research problems? The scope of the paper is to preliminary review research papers published in Asia-Pacific Software Engineering Conference 2018 (APSEC 2018) proceedings and researches conducted at the Department of Computer Engineering, Chulalongkorn University (CPCU). The author manually reviews papers with some keywords such as machine learning, neural network, and natural language processing. The result shows that machine learning is used in coding and software quality improvement activities more than other activities.",Literature Reviews on Applying Artificial Intelligence/Machine Learning to Software Engineering Research Problems: Preliminary
"The thesis is one of the requirements to complete the lecture for the S1 level. One of the universities that hold an undergraduate academic level is STMIK Sumedang, but if we look at STMIK Sumedang which is the campus of Informatics Engineering and Information Technology in terms of its technology utilization is not optimal, one that has not used technology is the Thesis process carried out in STMIK Sumedang. Starting from filing the title until the Thesis process is complete all the processes are still conventional which requires a lot of time, paper material and no real-time guidance can be made. Through this research, the author performs Analysis and Design to make all the Thesis processes automated. This Thesis automation system uses several techniques and methods needed in software design. For the system data flow method using an object-oriented method that is using UML in describing use case diagrams, Activity diagrams, Sequence diagrams, from the results of research that has been conducted on the problems found, the system can be developed using CodeIgniter (PHP framework). The use of this framework was chosen because the media can be accessed through all devices so that it is easier to deliver information more effectively. From the results of this study produce automation systems that can save time and money, all related elements will feel benefited, because this automation system covers the entire Thesis process from the submission of the title until the trial process is completed until the judicial process.",Thesis Process Automation System
"—Business process automation is an important task in an enterprise business environment software development. The requirements of processing acceleration and automation level of enterprises are inherently different from one organization to another. We present a methodology and system for automation of business process management system architecture by multi-agent collaboration based on SOA. Design layer processes are modeled in semantic markup language for web services application. At the core of our system is considering certain types of human tasks to their further automation across over multiple platform environments. An improved abnormality processing with model for automation of BPMS architecture by multi-agent collaboration based on SOA is introduced. Validating system for efficiency of process automation, an application for educational knowledge base instance would also be described.",Multi-Agent Model for Automation of Business Process Management System Based on Service Oriented Architecture
"Nippon Steel Corporation led the steel industry in adopting general-purpose personal computers and operating systems as process computer systems for automatic optimal control and developing the middleware NS SEMI SYSTEM in the activity of open system solution. The enhancement of middleware function has made the extension of adopting process field. Nowadays, the renewals of process computers projects mostly have adopted the middleware and great cost reduction has been achieved. The open system application technology including PLC and DCS fields is accumulating and the middleware and support tools originally developed as well are shared with all works. The middleware has been adopted not only in the steel industry including overseas but also in other industries. To keep up with various needs quickly, Nippon Steel Corporation is promoting open system solution activities and development on the latest open system technology.",Application of Open System to Process Automation in Ironand-steel making
"Collectively, process simulation is an intricate element within an intelligent transport system (ITS); arrange of modeling techniques and subsequent transition operations also form components of such a system. Although the ITS incorporates asset of process automations such as systematic prototypes and simulation, it also integrates computational modeling, and therefore, efficient operational transitions. Processes such as automation, modeling, and operational transitions are at the core of a fastidious ITS. Accordingly, these system elements need to be holistically integrated and amalgamated through effective computationbased methods. Fittingly, the main objective of this study is to examine the utilization of process automation- and computation-based methods as the basis for ITS integration perspectives. In doing so, Sydney Metro will be included as a case study to further elucidate such integration processes.",Process Automation in Intelligent Transportation System (ITS)
"Building production process has a complex nature and fragmented structure due to the characteristics of project type productions, i.e., number of participants, various organizational patterns, multi-phased production etc. Some of the currently available information system solutions and models in both conceptual and practical dimensions try to provide an integration and continuity through the phases of building production process in terms of various management-related functions by integrating the components that correspond to these functions. This paper presents an integrated design of a unified computer-based office automation system, MITOS (Multi-phase Integrated Automation System for Construction Industry) that basically comprises three relational database models; ASAP (Automation System for Architectural Practices); ASCC (Automation System for Construction Companies) and ASCE (Automation System for Cost Estimation).",MITOS: Multi-phase Integrated Automation System for Building Production Process
"This project reviewed technologies that could lead to greater construction efficiency by integrating life-cycle stages of construction including conception, design, construction, and operations and maintenance, and by improving the flow of resources. The research consulted stakeholders to determine current practices and to gauge the need for process automation and integration. The report assesses changes that might include tracking the location and status of materials, equipment, personnel, and other resources that would facilitate delivery on demand. Dans le cadre de ce projet, on a examiné certaines technologies qui pourraient accroître l'efficacité de la construction en intégrant tous les stades du cycle de vie de la construction, dont la conception, l'avant-projet, la construction ainsi que l'exploitation et l'entretien, et en améliorant le flux des ressources. Aux fins de la recherche, on a consulté les intéressés pour déterminer les pratiques courantes et évaluer les besoins en matière d'automatisation des procédés et d'intégration. Dans le rapport, on évalue différentes modifications potentielles, notamment le suivi de l'emplacement et de l'état des matériaux, de l'équipement et du personnel ainsi que des autres ressources qui faciliteraient la livraison sur demande. RES",Need for Intelligent System for Construction Process Automation
"The complexity and variability of the Electric Arc Furnace process call for advanced monitoring and control solutions, in order to improve process performances, environmental compatibility and operator safety. The innovative Danieli Q-MELT Automatic EAF system addresses these aspects implementing a centralized control system which interacts with multiple technological packages. Each of these cutting-edge technologies focuses on one aspect of the EAF cycle, increasing machine availability and resource efficiency, by means of electrode regulation and foamy slag control, charging optimization, off-gas analysis and closed loop injectors control, on-line temperature measurement, automatic tapping and robotics. Moreover, these modules provide the process supervisor application (Melt Model) with important information regarding the process status, thus allowing the adoption of a unified control strategy. The supervisor implements a robust statistical approach to identify process deviations in real time. By means of advanced data collecting and data mining techniques, the available process data are clustered and filtered, and the expected trends of the key process variables are thus extracted. Melt Model applies this data-driven adaptive strategy to the oxygen injection management during the refining phase, optimizing the decarburization process and increasing the furnace performances. With such a modular and adaptive approach, Q-MELT aims to the “Zero Operator on Melting Floor” practice and allows multiple levels of process optimization, from a single process aspect to the entire EAF cycle.",EAF process optimization through a modular automation system and an adaptive control strategy
"Today’s power plants are highly automated. All subsystems of large thermal power plants can be controlled from a central control room. One subsystems area is the electrical auxiliaries for the unit transformer, the grid connection, excitation, synchronization, generator/unit protection, auxiliary transformers, HV-, MV- and LV-switchgear. In the past, these electrical devices were all hardwired to the DCS and I/Os. To this day, horizontal communication between electrical devices is still hardwired. In the last decade, serial communication protocols were introduced. Unfortunately, standardization of these protocols went in different directions. Today there are several standards on the market. Most of them are incompatible with others. In substation automation, the newly developed IEC 61850 standard was released in 2004. IEC 61850 defines interoperable function blocks, called logical nodes, that communicate over a network with other functions, regardless on which suppliers' device they are implemented. IEC 61850 separates application and communication layers, which enables one part to be changed without impacting the other part. New future communication technologies can be easily adapted to IEC 61850 which will make applications future proof over their service life. In future, it will be possible to modify or extend electrical without replacing the entire substation automation system. IEC 61850 is expected to be a future standard in power plant electrical systems, at least for HV and MV. It will have applicationspecific extensions; e.g., IEC 61850-7-420 (formerly IEC 62344) for hydro power applications. This results in new requirements for state-of-the art power plant control systems. Users can seamlessly monitor and operate electrical devices the same way they do the process control. This paper discusses various aspects of the implementation of the standard in power plants and shows how devices integrate into ABB's control system environment.",Future power plant control - Integrating process & substation automation into one system
"Process automation has been one of the fastest developing fields of process industry in recent years. This makes for quite high demands on automationpersonnel. They should master the process they are supervising. The high level of automation can, however, reduce the skills of the personnel to copewith tasks the automation system cannot do. The recent development in automation systems and networks enables supply  of information through netsto support learning during the work. This paper presents a learning environment to be developed in the Control Engineering Laboratory at theUniversity of Oulu. The environment consists of a pilot scale rotary dryer, relating process automation system, and the network connections to localnetwork and Internet. The paper will also describe how earlier, in a COMETT II project, developed hypermedia material is going to be utilized in thisenvironment. It will also outline problems that may be confronted while integrating different systems together and building this kind of  learningenvironment",A Learning Environment For a Process Automation System
